fold,method,method_label,weights,threshold,accuracy_at_0p5,balanced_accuracy_at_0p5,f1_lie_at_0p5,macro_f1_at_0p5,auc_roc,auc_pr,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_precision_lie,calibrated_recall_lie,calibrated_f1_lie,calibrated_macro_f1,calibrated_confusion_matrix
fold1,cross_attention_auc,Cross-attention AUC baseline,cross_attention_auc=1.00;gated_prior_kl=0.00,0.4698400348424911,0.5743801652892562,0.5745384734054406,0.588,0.5739145299145298,0.5912339944119714,0.5966651105205479,0.5702479338842975,0.5642194758223487,0.584192439862543,0.6614785992217899,0.6204379562043796,0.5625999304831422,"[[106, 121], [87, 170]]"
fold2,cross_attention_auc,Cross-attention AUC baseline,cross_attention_auc=1.00;gated_prior_kl=0.00,0.48176356628537176,0.5767634854771784,0.5825465591936069,0.5363636363636364,0.5735253296321998,0.6572656506205015,0.6557917892908954,0.6099585062240664,0.6094033173964823,0.6305220883534136,0.6205533596837944,0.6254980079681275,0.6092858005208603,"[[137, 92], [96, 157]]"
fold3,cross_attention_auc,Cross-attention AUC baseline,cross_attention_auc=1.00;gated_prior_kl=0.00,0.48290466964244844,0.47198275862068967,0.5,0.0,0.3206442166910688,0.5692106979778213,0.5964167617870934,0.5043103448275862,0.5274624918460534,0.6829268292682927,0.11428571428571428,0.1958041958041958,0.4187743720454001,"[[206, 13], [217, 28]]"
fold1,ensemble_raw_auc_roc,Final ensemble raw-AUC,cross_attention_auc=0.26;gated_prior_kl=0.74,0.5523683848977088,0.5971074380165289,0.5905397761360325,0.6473779385171791,0.588749210222445,0.6483655873429439,0.655366737965736,0.5867768595041323,0.5923824542758703,0.6417910447761194,0.5019455252918288,0.5633187772925764,0.5855809572737392,"[[155, 72], [128, 129]]"
fold2,ensemble_raw_auc_roc,Final ensemble raw-AUC,cross_attention_auc=0.94;gated_prior_kl=0.06,0.4838058087676763,0.5767634854771784,0.5823394376650499,0.5384615384615384,0.5738284703801946,0.6571793499836028,0.6558636997044611,0.6099585062240664,0.6094033173964823,0.6305220883534136,0.6205533596837944,0.6254980079681275,0.6092858005208603,"[[137, 92], [96, 157]]"
fold3,ensemble_raw_auc_roc,Final ensemble raw-AUC,cross_attention_auc=0.04;gated_prior_kl=0.96,0.5429536882042885,0.5581896551724138,0.5331749138011369,0.7007299270072993,0.42855426391517226,0.6541235672351132,0.6654726359102529,0.584051724137931,0.5864970645792563,0.6214953271028038,0.5428571428571428,0.579520697167756,0.5840034189463513,"[[138, 81], [112, 133]]"
fold1,ensemble_raw_balanced_accuracy,Final ensemble raw-BA,cross_attention_auc=0.05;gated_prior_kl=0.95,0.5227371810004114,0.6053719008264463,0.5972934057834381,0.6619469026548672,0.5940007466127935,0.654125027854437,0.6552983873747446,0.6033057851239669,0.6002331202111795,0.620817843866171,0.6498054474708171,0.6349809885931559,0.6002959241608313,"[[125, 102], [90, 167]]"
fold2,ensemble_raw_balanced_accuracy,Final ensemble raw-BA,cross_attention_auc=0.17;gated_prior_kl=0.83,0.5036009082446495,0.5954356846473029,0.5866630995736749,0.6643717728055077,0.5776166958022317,0.6498265357198337,0.6509608382824978,0.6016597510373444,0.5965272623711962,0.6040955631399317,0.6996047430830039,0.6483516483516484,0.5945107524054893,"[[113, 116], [76, 177]]"
fold3,ensemble_raw_balanced_accuracy,Final ensemble raw-BA,cross_attention_auc=0.04;gated_prior_kl=0.96,0.5429536882042885,0.5581896551724138,0.5331749138011369,0.7007299270072993,0.42855426391517226,0.6541235672351132,0.6654726359102529,0.584051724137931,0.5864970645792563,0.6214953271028038,0.5428571428571428,0.579520697167756,0.5840034189463513,"[[138, 81], [112, 133]]"
fold1,gated_prior_kl,Gated logits prior-KL,cross_attention_auc=0.00;gated_prior_kl=1.00,0.5262111377503191,0.6157024793388429,0.6070210322425822,0.6736842105263158,0.6031737635546152,0.6550677934143541,0.6551179188647496,0.6033057851239669,0.6002331202111795,0.620817843866171,0.6498054474708171,0.6349809885931559,0.6002959241608313,"[[125, 102], [90, 167]]"
fold2,gated_prior_kl,Gated logits prior-KL,cross_attention_auc=0.00;gated_prior_kl=1.00,0.5139600109486353,0.553941908713693,0.533467386989316,0.6897546897546898,0.448198378087677,0.6216925280908573,0.6344061611536739,0.5892116182572614,0.5906760791894644,0.6200873362445415,0.5612648221343873,0.5892116182572614,0.5892116182572614,"[[142, 87], [111, 142]]"
fold3,gated_prior_kl,Gated logits prior-KL,cross_attention_auc=0.00;gated_prior_kl=1.00,0.5459980191662908,0.5560344827586207,0.5308918087783059,0.6997084548104956,0.424234392694504,0.6545522318516449,0.6654877669268124,0.5883620689655172,0.590820985928618,0.6261682242990654,0.5469387755102041,0.5838779956427015,0.588314264345871,"[[139, 80], [111, 134]]"
